test,answer,is_complete,t_wasp,t_solver,n_solver,n_paths,instructions
_build/termination-recursive-malloc/rec_malloc_ex5.wat,True,True,1.57,0.017822,1,1,7599353
_build/termination-recursive-malloc/rec_malloc_ex5B.wat,True,True,16.83,0.034009,1,1,58369337
_build/termination-recursive-malloc/selectionSort_recursive.wat,False,False,18.91,10.844937,2,3,15317013
_build/termination-recursive-malloc/rec_malloc_ex8.wat,True,False,895.03,0.560268,3,4,1487723983
_build/termination-recursive-malloc/rec_malloc_ex9.wat,True,False,895.04,0.563841,1,2,1623403592
_build/termination-recursive-malloc/rec_malloc_ex7.wat,True,False,895.03,0.776661,2,3,1315858414
_build/termination-recursive-malloc/rec_malloc_ex7B.wat,True,False,895.03,3.036134,9,10,1307683827
_build/termination-recursive-malloc/rec_malloc_ex6.wat,True,False,895.04,0.0,0,1,1606988395
_build/termination-recursive-malloc/rec_strcopy_malloc2.wat,True,False,895.16,0.107111,4,5,1338380008
_build/termination-recursive-malloc/rec_strcopy_malloc.wat,True,False,895.17,3.396636,43,44,1591181970
_build/termination-recursive-malloc/rec_strlen_malloc.wat,True,False,895.21,0.09167,4,5,1870107655
_build/termination-recursive-malloc/rec_malloc_ex4.wat,True,False,895.03,0.320302,2,3,1259545198
_build/termination-recursive-malloc/rec_malloc_ex3.wat,True,False,895.03,6.762901,2,3,1005434664
_build/termination-recursive-malloc/rec_malloc_ex2.wat,Crash,False,601.92,0.0,0,0,0
_build/termination-recursive-malloc/insertionSort_recursive.wat,False,False,0.05,0.0,0,1,86220
_build/termination-recursive-malloc/rec_malloc_ex11.wat,True,False,895.04,3.490881,2,3,3075359624
_build/termination-recursive-malloc/rec_malloc_ex11D.wat,True,False,895.04,3.309875,2,3,2966724241
_build/termination-recursive-malloc/rec_malloc_ex1.wat,True,False,895.05,1.16405,1,2,1691795696
_build/termination-recursive-malloc/rec_malloc_ex11C.wat,True,False,895.03,3.721943,1,2,2896154766
_build/forester-heap/sll-token-1.wat,False,False,0.05,0.0,0,1,77105
_build/termination-recursive-malloc/chunk1.wat,True,True,0.09,0.0518,2,2,13826
_build/termination-recursive-malloc/rec_malloc_ex10.wat,True,False,895.02,0.178153,1,2,1350416864
_build/termination-recursive-malloc/rec_malloc_ex11B.wat,True,False,895.04,1.178947,1,2,3075889010
_build/termination-recursive-malloc/mutual_simple.wat,True,False,895.03,0.249358,4,5,1101142290
_build/forester-heap/sll-simple-white-blue-2.wat,False,False,0.36,0.0,0,1,1066434
_build/forester-heap/sll-sorted-1.wat,False,False,0.45,0.0,0,1,1072984
_build/forester-heap/sll-rb-sentinel-2.wat,False,False,0.44,0.0,0,1,1221082
_build/forester-heap/sll-rb-cnstr_1-2.wat,False,False,0.34,0.0,0,1,794019
_build/termination-recursive-malloc/mutual_simple2.wat,True,False,895.02,0.192939,4,5,1443758146
_build/forester-heap/sll-queue-2.wat,False,False,0.12,0.0,0,1,220816
_build/termination-recursive-malloc/mergeSort.wat,True,False,895.09,0.620851,1,2,927036824
_build/forester-heap/sll-optional-2.wat,False,False,0.28,0.0,0,1,734200
_build/termination-recursive-malloc/chunk3.wat,True,False,895.02,0.017063,1,2,1566107462
_build/forester-heap/sll-circular-2.wat,False,False,0.02,0.0,0,1,20913
_build/termination-recursive-malloc/chunk2.wat,True,False,895.03,0.058925,1,2,1544605930
_build/forester-heap/sll-token-2.wat,True,False,895.04,281.476844,608,608,1130015663
_build/forester-heap/sll-sorted-2.wat,True,False,895.07,54.545703,44,45,615541545
_build/forester-heap/sll-simple-white-blue-1.wat,True,False,895.04,250.886818,590,591,1137670053
_build/forester-heap/sll-reverse_simple.wat,True,False,895.04,436.380715,598,598,656440532
_build/forester-heap/sll-rb-sentinel-1.wat,True,False,895.03,464.123754,719,720,670317181
_build/forester-heap/dll-token-2.wat,False,False,0.52,0.0,0,1,1614452
_build/forester-heap/sll-rb-cnstr_1-1.wat,True,False,895.04,450.099794,638,639,747423491
_build/forester-heap/dll-sorted-1.wat,False,False,1.48,0.0,0,1,4015791
_build/forester-heap/sll-buckets-2.wat,False,False,3.34,0.0,0,1,8409575
_build/forester-heap/dll-simple-white-blue-1.wat,False,False,0.4,0.0,0,1,1234104
_build/forester-heap/sll-queue-1.wat,True,False,895.17,459.540086,622,622,637432699
_build/forester-heap/sll-optional-1.wat,True,False,895.03,286.590637,1398,1398,1021320809
_build/forester-heap/dll-rb-sentinel-1.wat,False,False,0.27,0.0,0,1,542106
_build/forester-heap/dll-rb-cnstr_1-2.wat,False,False,0.24,0.0,0,1,669679
_build/forester-heap/sll-circular-1.wat,True,False,895.02,0.482896,33,34,2331537251
_build/forester-heap/dll-queue-2.wat,False,False,0.37,0.0,0,1,786566
_build/forester-heap/sll-buckets-1.wat,True,False,895.03,256.31006,606,607,1090174677
_build/forester-heap/sll-01-2.wat,True,False,895.04,336.247621,562,563,737520720
_build/forester-heap/sll-01-1.wat,True,False,895.04,367.172199,648,649,705532949
_build/forester-heap/dll-token-1.wat,True,False,895.04,171.516949,588,589,1305870024
_build/forester-heap/dll-circular-1.wat,False,False,0.03,0.0,0,1,29129
_build/forester-heap/dll-sorted-2.wat,True,False,895.05,37.462303,37,38,733580230
_build/forester-heap/dll-01-1.wat,False,False,1.21,0.082713,5,6,1951611
_build/forester-heap/dll-simple-white-blue-2.wat,True,False,895.04,162.64934,505,506,1191014700
_build/forester-heap/dll-optional-2.wat,False,False,3.23,0.0,0,1,8076238
_build/forester-heap/dll-reverse.wat,True,False,895.03,246.736855,497,497,894700980
_build/openssl/s3_srvr.blast.16.i.cil-1.wat,False,False,5.71,0.084481,6,7,4700074
_build/openssl/s3_srvr.blast.14.i.cil-2.wat,False,False,1.31,0.032878,2,3,2007321
_build/openssl/s3_srvr.blast.15.i.cil-1.wat,False,False,6.5,0.073863,5,6,4233793
_build/openssl/s3_srvr.blast.13.i.cil-2.wat,False,False,1.28,0.032167,2,3,2006705
_build/forester-heap/dll-rb-sentinel-2.wat,True,False,895.19,372.624756,782,782,753902485
_build/forester-heap/dll-rb-cnstr_1-1.wat,True,False,895.1,374.731946,821,821,801272301
_build/openssl/s3_srvr.blast.12.i.cil-1.wat,False,False,1.2,0.028146,2,3,2006675
_build/forester-heap/dll-queue-1.wat,True,False,895.04,241.121423,510,510,902351632
_build/forester-heap/dll-circular-2.wat,True,False,895.02,0.142355,10,11,2325562861
_build/forester-heap/dll-optional-1.wat,True,False,895.03,80.754951,221,221,1440615883
_build/forester-heap/dll-01-2.wat,True,False,895.05,206.898147,365,366,901967170
_build/openssl/s3_srvr.blast.09.i.cil-2.wat,False,False,1.25,0.030746,2,3,2006705
_build/openssl/s3_srvr.blast.16.i.cil-2.wat,True,False,895.03,8.659826,239,240,195789947
_build/openssl/s3_srvr.blast.15.i.cil-2.wat,True,False,895.03,20.292327,198,199,267821305
_build/openssl/s3_srvr.blast.08.i.cil-2.wat,False,False,6.63,0.075251,5,6,4245701
_build/openssl/s3_srvr.blast.14.i.cil-1.wat,True,False,895.03,12.886012,143,144,272203491
_build/openssl/s3_srvr.blast.07.i.cil-2.wat,False,False,1.31,0.032665,2,3,2006705
_build/openssl/s3_srvr.blast.13.i.cil-1.wat,True,False,895.02,10.447641,260,261,206872240
_build/openssl/s3_srvr.blast.06.i.cil-1.wat,False,False,1.88,0.04053,3,4,2676845
_build/openssl/s3_srvr.blast.04.i.cil.wat,False,False,1.25,0.031995,2,3,1972300
_build/openssl/s3_srvr.blast.03.i.cil.wat,False,False,1.2,0.030922,2,3,1972300
_build/openssl/s3_srvr.blast.12.i.cil-2.wat,True,False,895.03,16.437707,147,148,273323647
_build/openssl/s3_srvr.blast.02.i.cil-1.wat,False,False,1.18,0.030628,2,3,1972300
_build/openssl/s3_srvr.blast.11.i.cil-2.wat,True,False,895.02,9.88548,252,253,210093818
_build/openssl/s3_srvr.blast.01.i.cil-2.wat,False,False,1.13,0.030789,2,3,1972253
_build/openssl/s3_srvr.blast.10.i.cil-2.wat,False,False,109.15,0.752313,45,46,33391845
_build/openssl/s3_clnt.blast.04.i.cil-1.wat,False,False,15.87,0.149274,10,11,7558382
_build/openssl/s3_srvr.blast.11.i.cil-1.wat,True,False,895.03,11.169018,138,139,309403388
_build/openssl/s3_clnt.blast.03.i.cil-1.wat,False,False,15.84,0.152414,10,11,7500854
_build/openssl/s3_srvr.blast.10.i.cil-1.wat,True,False,895.03,20.022102,168,169,282613740
_build/openssl/s3_srvr.blast.09.i.cil-1.wat,True,False,895.03,14.051257,152,153,263624827
_build/openssl/s3_srvr.blast.08.i.cil-1.wat,True,False,895.03,10.696088,265,266,211990612
_build/openssl/s3_srvr.blast.07.i.cil-1.wat,True,False,895.04,14.551888,135,136,287653283
_build/openssl/s3_srvr.blast.06.i.cil-2.wat,True,False,895.03,8.21284,237,238,187059709
_build/array-fpi/ssinaf.wat,False,False,0.04,0.0,0,1,73626
_build/openssl/s3_clnt.blast.01.i.cil-2.wat,False,False,9.49,0.085198,6,7,4821480
